,OLS,Lasso,Ridge,RF,GBM,AdaBoost,XGBoost
LotArea,5.349903134539264,5.064089232421377,5.212295196708466,0.044581660321449924,0.04527413790035408,0.09137542257303108,0.0049802875
OverallQual,5.5951370608513304,6.150763821092187,6.448407102447105,0.07272258492129122,0.06944135920661343,0.08856593867333927,0.029958742
OverallCond,5.666005094530316,5.983971699542056,5.936038748343898,0.059509040118072044,0.06184524482999308,0.04842625832387134,0.015559453
BsmtUnfSF,-4.78728646135086,-4.751658978465914,-4.698815146781598,0.038479451251385764,0.02443806805581748,0.05465997278900819,0.0070390166
TotalBsmtSF,8.994947628270797,9.281001780796698,9.068475603604888,0.25031470689583407,0.15091715043457204,0.10998339315108498,0.045514554
2ndFlrSF,-2.709838116808161,-3.300242917732582,-3.594289839322741,0.05283051182315299,0.06425473883087571,0.007940294704340429,0.036477596
BedroomAbvGr,-2.9560573319662673,-2.985360941813268,-2.911495457579474,0.018710352690063194,0.026964457274131017,0.02451105261974218,0.015511297
KitchenAbvGr,-0.9183143854509475,-1.1997463599977194,-1.2365686741523356,0.0083041287011388,0.021616756589164225,0.0008358623072195163,0.07186521
Fireplaces,-0.6566215357762673,-0.779679027176302,-0.8746238024165766,0.005903062057995682,0.002471635242376245,0.004472490666835015,0.0026296114
GarageCars,3.1503295465504997,3.191242527209696,3.127430958932032,0.011212286733506015,0.019126342852757647,0.018256124456726107,0.012833318
OtherRmsAbvGrd,-2.8645098860090936,-2.513131132298434,-2.503217414233012,0.01426202107728006,0.013861972737408088,0.008732956542876811,0.0025349348
HouseAge,-9.583179570064477,-9.455312839450684,-9.284874116283053,0.1514744004011672,0.06600479281304979,0.1555242715523109,0.035777938
RemodAge,-1.2170950286377358,-1.1314784759412693,-1.2407974793309393,0.057492313676433045,0.0417594172591585,0.04447625646803763,0.013501041
AllBath,0.129783760053912,0.03246091259818808,0.3438266825409267,0.021542635481879447,0.01603432416865123,0.04980056453277077,0.0016015755
MSSubClass_A2,4.549313014803893,1.7402444691952172,2.0136582541527317,0.000665593063163266,0.0010143428538345518,0.00042637624346722914,0.0
MSSubClass_A3,-7.556737027009765,-0.0,-1.5654597034149011,0.00017205323552431457,0.0007662064676699369,0.0,0.0
MSSubClass_A4,0.06729287165865383,0.8715508965726434,1.6773077816632498,0.0006979534419202257,0.006439701901151845,0.002790265002368357,0.0027130558
MSSubClass_B1,11.071804142947785,6.644682532327362,5.196677735499192,0.0001803118811113329,0.0016401700179056705,0.0,0.0008827255
MSSubClass_B2,0.4082393907095032,0.0,0.07837205786345638,0.0012120599557990765,0.016635210463904565,0.0003244910940999691,0.0
MSSubClass_C1,-2.2066235919765984,-1.2224533913972764,-1.2816625939879647,0.0030342261128300436,0.009147512467757959,0.00012606050223178545,0.0
MSSubClass_C2,2.3064386876866654,1.2962648204290756,1.6730693831157784,0.00042629554071564103,0.0004710761704616796,1.275552152028571e-05,0.0
MSSubClass_C3,-10.834866502373396,-6.4647569475689295,-5.601881880175651,0.0001657078101177049,0.00130203386185437,6.656660406929224e-05,0.0
MSSubClass_D1,-0.9451968406919122,-0.0,-1.4001885331483988,0.0002709199179538556,0.0015734715111396767,0.0,0.00090730086
MSSubClass_E1,6.48821588074343,5.370754061608252,4.985571432624205,0.0006218271080134238,0.001761346535793595,0.0016035327849717234,0.0012650844
MSSubClass_E2,5.812047010837886,2.8907719801678025,3.4837648019162395,0.0009148341937256918,0.0027194753118826567,0.000684295406499743,0.001646906
MSSubClass_E3,8.072410049765562,0.42867937597015204,3.125648110903147,0.0002665295522872684,0.000996844778630503,0.0,0.0
MSSubClass_F1,-4.11923868842431,-2.751022093300085,-2.632208026125225,0.0013660743015026194,0.0024451158635321038,0.0,0.0
MSSubClass_F2,-0.6384917524343419,-0.0,0.018649453592053264,0.0005436066594965978,0.0005657865416495685,0.0,0.0
Neighborhood_Blueste,-3.1054974233538966,-0.0,-0.6039658379815432,7.067445065873521e-06,0.0,0.0,0.0
Neighborhood_BrDale,2.609088060948755,0.0,1.731837543451497,7.817855860933054e-05,0.00016408207511124675,0.0,0.0
Neighborhood_BrkSide,-2.1841206396420327,2.2025058849757992,2.9177838134479295,0.0005814749438664965,0.0018178483761806035,5.004869377587539e-05,0.0020325973
Neighborhood_ClearCr,-7.2074474041847445,-3.3594386790649207,-3.7294103528996785,0.0007537787302285211,0.0005456983214746913,0.0,0.0028626483
Neighborhood_CollgCr,-2.559246460418295,0.4522838802654244,0.6597470647092013,0.0021475755867899986,0.004516343152863462,0.0008753295582816281,0.0015171763
